Gene	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
DMAP1	1238.597585	1180.526469	876.3255465	944.1444542	852.3352991	1098.536842	1063.826199	1195.552345
DMBT1	0.639111241	1.069317454	0.832217993	0	0	0.890946344	2.077785544	0
DMBX1	149.5520304	157.1896657	236.34991	233.8051484	237.1848678	263.7201179	262.8398713	224.6675548
DMC1	300.3822833	305.8247918	302.0951314	311.4427358	355.0121892	320.7406839	359.4568991	354.3863216
DMD	1191.303353	1206.190088	1127.65538	1152.070407	1253.254237	1214.359867	1147.976513	1128.687002
DMGDH	1.278222482	1.069317454	4.161089964	5.354316375	7.651124767	1.781892689	0	1.337306874
DMKN	1018.743318	979.4947876	1334.877661	1318.054214	1135.426915	1131.501857	1174.987725	1188.865811
DMP1	1.917333723	0	0	0	0	1.781892689	1.038892772	1.337306874
DMPK	1177.882017	1179.457151	811.412543	844.1972152	714.6150533	959.5492128	897.603355	877.2733093
DMRT1	7.669334893	4.277269815	5.82552595	8.031474563	9.181349721	16.92798054	8.311142176	13.37306874
DMRT2	5.75200117	6.415904722	14.97992387	14.278177	9.181349721	16.92798054	20.77785544	22.73421686
DMRT3	83.08446135	93.03061847	93.2084152	113.3330299	99.46462198	109.5864003	140.2505242	94.94878805
